cheese	milk	origin	region	family	kind	fat	calcium	rind	texture	color	flavor	aroma	producer	synonyms	alternative_spellings	vegetarian	description
Original Havarti	pasteurized cow's milk	United States	Wisconsin	Havarti	semi-soft				buttery	pale yellow	"buttery, creamy"	fresh	Emmi Roth USA	"Caraway Havarti, Chipotle Havarti, Dill Havarti, Horseradish Havarti, Jalapeno Havarti, Peppadew Havarti, Reduced fat Havarti"			"Inspired by the Danish cheese making techniques, Havarti is a fresh, semi-soft cheese made using pasteurized cultured milk, cream and natural ingredients. Made by Emmi Roth USA in Wisconsin, the cheese is rich and creamy in flavor. The cheese can be mild to sharp in flavor and buttery depending on its aging. Havarti is a table cheese which can be sliced or grilled and can be served with fruit and wine. Havarti is also available in different flavors such as:Caraway Havarti: Dotted with Caraway seeds that gives a well-balanced savory flavorChipotle Havarti: Flavored with chipotle spices, jalapeño peppers that gives smoky and spicy flavor Dill Havarti: Flavored with Dill herbHorseradish Havarti: Flavored with mustard seeds, chives, horseradish oilJalapeno Havarti: Flavored with red and green jalapeño peppers that gives complex tastePeppadew Havarti: Flavored with Peppadew peppers that gives hot and sweet tasteReduced fat Havarti: Made from part-skim cultured milk for health conscious cheese lovers"
Original Illertaler	cow's milk	Germany	Allgäu		"semi-hard, artisan"				dry and firm	pale yellow	"nutty, subtle"	mild	Käserei Champignon			yes	"Original Illertaler is a Emmental style cheese made using fresh cow's milk, made by Käserei Champignon, Lauben / Allgäu, Germany. This cheese is aged for 2 months. During the maturation process the cheese develops the characteristic holes that are spread unevenly throughout the cheese. It has a distinctive aroma and mild flavor with nutty notes. It is available in different sizes."
Orkney Extra Mature Cheddar	pasteurized cow's milk	Scotland and United Kingdom	Orkney Isles	Cheddar	hard				firm and smooth	pale yellow	"acidic, nutty, sharp"	strong	The Orkney Cheese Company Ltd				"Orkney Extra Mature Cheddar is a hard cow’s milk cheese made from milk produced only by farmers from the Orkney Isles. Depending on varieties, it can take 10 - 18 months for maturation. With smooth and firm texture, it has sharp, nutty flavor plus strong aroma. An excellent addition to cooking as it releases less oil when melted and it appears great on sandwiches."
Orkney Mature Cheddar	pasteurized cow's milk	Ireland and United Kingdom	Orkney Isles	Cheddar	"hard, artisan"			natural	"firm, smooth and soft"	yellow	"creamy, mellow, savory, sharp"	nutty	The Orkney Cheese Company Ltd	"Orkney White Mature Cheddar, Orkney Colored Mature Cheddar"			"Orkney Island Cheddar is cow's milk Cheddar crafted only from the milk sourced from the Orkney Isles. Flavor-wise, it is characterised by moderate levels of sharp acid notes, rounded taste and savoury, nutty notes. It always has a clean aroma with a firm but malleable texture which is smooth and closed. All Cheddar cheeses are matured for 6 to 18 months, providing a variety of flavor profiles. Mature Cheddar aged for 12-15 months, is creamy and mellow with slightly sharp savoury flavor. The paste is bright even color with a firm, smooth and silky texture. The cheese will be white or colored, wherein the bright color comes from a vegetable color pigment added after pasteurisation. Cheddar has always been a favourite on cheeseboards but also tastes delicious on sandwiches."
Orkney Medium Colored Cheddar	pasteurized cow's milk	Ireland and United Kingdom	Orkney Isles	Cheddar	"semi-hard, artisan"			natural	"close, firm and smooth"	yellow	"mellow, savory"	clean	The Orkney Cheese Company Ltd				"Orkney Island Cheddar is cow's milk Cheddar crafted only from the milk sourced from the Orkney Isles. Flavor-wise, it is characterised by moderate levels of sharp acid notes, rounded taste and savoury, nutty notes. It always has a clean aroma with a firm but malleable texture which is smooth and closed. All Cheddar cheeses are matured for 6 to 18 months, providing a variety of flavor profiles. Medium Cheddar aged for 6-12 months is creamy and mellow with slightly savoury flavor. The paste is bright even color with a smooth and malleable texture. The cheese will be white or colored, wherein the bright color comes from a vegetable color pigment added after pasteurization. Cheddar has always been a favourite on cheeseboards but also tastes delicious on sandwiches."
Orla	pasteurized sheep's milk	Ireland			"semi-hard, brined"			washed	firm	orange	"salty, sharp"	"earthy, strong"				yes	"Orla is a modern, farmhouse, unpasteurised, organic, vegetarian, semi-hard cheese made from sheep's milk. It has a round shape with fine, orange, brine-washed crust. It is one of the cheeses that belongs among semi-soft and hard, depending on the degree of maturity. Orla is supple and decidedly semi-soft when young. After being aged in cellars for up to six months, it resembles Manchego in texture, although it is less oily. The mature cheese is sharp and salty, while retaining the burnt-sugar flavor so typical of sheep's milk. Orla is matured for 2-6 months."
Oro Italiano	pasteurized cow's milk	Italy	Veneto		"semi-hard, artisan"			natural	creamy and smooth	yellow	"creamy, smooth"	rich	Moro Latteria di Moro Sergio			no	"Oro Italiano (means Italian Gold) is made from pasteurized cow's milk, made by Moro Latteria di Moro Sergio, Veneto, Italy. Two ingredients are used while making this cheese are - Saffron d’Aquila and Umbrian black truffles. This semi-hard cheese with a golden color has a unique taste."
Oschtjepka	unpasteurized cow's and sheep's milk	Slovakia	Carpathian		"semi-hard, artisan"			natural	firm and supple	pale yellow	sweet	herbal				no	"Oschtjepka is a Slovakian supple and elastic, semi-hard cheese of round shape with natural rind. This cheese has been made for centuries in the Carpathian Mountains. The method of production is quite simple. A mixture of cow's and sheep's milk is pressed into balls and hung to dry from the ceilings of mountain chalets. Once dry, the cheese develops a hard rind on the outside and firm texture on the inside. The cheese has a sweet flavor and the period of ripening is two to three months. It is often used as a topping cheese or relished as a table cheese."
Oscypek	unpasteurized cow's and sheep's milk	Poland	Tatra Mountains	Cottage	"semi-hard, brined"			natural	firm	pale yellow	salty	smokey		"oscypki, Oszczypek"		no	"Oscypek (Oszczypek) is an old cheese with an oval shape produced in the Tatra mountains of Poland. The shepherds in the mountains make this cheese from unpasteurised sheep's milk. Cow's milk is also added while making the cheese. The cheese is pressed into hand-carved wooden moulds with a distinct pattern. The cheese has a salty flavor with a smoky aroma. To fully appreciate this cheese, it is best to accompany it with beer."
Ossau-Iraty	unpasteurized sheep's milk	France	Bearn & Iraty		"firm, artisan"			natural	"creamy, firm and grainy"	ivory	"buttery, fruity, herbaceous, nutty"	"earthy, grassy"		"Ossau Fermier, Istara Ossau Iraty, Ossau Irati, Ossau-Iraty, Ossau au Piment d'Espelette"		no	"Ossau-Iraty (or Esquirrou) is a traditional, unpasteurised ewe's milk cheese from the picturesque mountains of Pyrenees that hold a fertile grazing land for the milk-giving ewes. This cheese unites two regions of France in the Western Pyrénées: Ossau valley of Bearn and Iraty Forest of Basque Country. It received an AOC protection in 1980, which requires that the cheese be produced with the milk of only two breeds of ewes - Manech and Basco-Béarnaise. An uncooked and pressed cheese, Ossau-Iraty is semi-hard in texture with a thick, buff rind marked with rust and grey moulds. Beneath the brown and orange rind is an ivory white, supple and slightly grainy interior that has a creamy and buttery mouth feel. Flavors are herbaceous, nutty and fruity if the produce is from winter while the summer cheeses tend to reveal aromas of grass and flowers. Matured for at least 6 months, Ossau-Iraty often comes in a flat cylindrical shape. There are three main sizes available, small (Petit-Ossau-Iraty-Brebis Pyrenes), intermediate (non-fermier) and large (fermier). It is sometimes dusted with paprika leaves to add a kick of flavor. It tastes delicious with fruity red, full-bodied red or white wines such as Zinfandel, Tempranillo or Syrah."
Oxford Blue	pasteurized cow's milk	England and United Kingdom	Buckinghamshire	Blue	"semi-hard, artisan, blue-veined"			natural	creamy	white	"salty, sharp, spicy, tangy"	strong	Oxford Blue Cheese Company Ltd				"Oxford Cheese Company’s MD, Baron Robert Pouget along with Steve Peace from Hartington creamery first produced Oxford Blue cheese at the Oxford Cheese Company in 1994. They wanted to make a cheese that could rival imports such as Dolcelatte, Cambozola and Fourme D’Ambert. Oxford Blue cheese is a full-fat semi-hard Stilton-type blue cheese with a creamy texture and sharp clean flavor. The cheese is made from pasteurized cow's milk. It is one of the best blue cheeses in the United Kingdom. The cheese has a salty and tangy flavor."
P'tit Basque	pasteurized sheep's milk	France	"Basque, Pyrenees Mountains"		"semi-hard, artisan"	45%		natural	"creamy, dry and smooth"	ivory	"earthy, mild, nutty, pungent, subtle, sweet"	"fresh, lactic, pleasant"			Petit Basque		"P'tit Basque is a 100% pure sheep's milk cheese produced in France's Basque region in the Pyrenees Mountains, the region that spans the border between France and Spain. Traditionally, it was handmade by shepherds from leftover curds set aside from milking their ewes. And even today, P'tit Basque is made using the same method used by the local shepherds.The semi-hard cheese is aged for a minimum of 70 days, during which it develops a basket-weave pattern similar to Spain's famous Manchego cheese but with milder and more delicate favour. It has a distinctive aroma of sheep's milk and a smooth, sweet flavor with a nutty finish.P'tit Basque can be enjoyed as a snack with fruits, grilled vegetables, berries and cured meats, and even salads."
P'tit Berrichon	pasteurized goat's milk	France	Berry		"soft, artisan"			leaf wrapped	soft-ripened	white	sweet	goaty				no	This cheese is a specialty from the Berry region of France. It looks like Crottin de Chavignol. It is slightly salty with a distinct goat's milk taste. Its pâte is soft. A true delight for connoisseurs of cheeses.
Pacific Rock	pasteurized cow's milk	Canada	Quebec		hard	30%		washed	crumbly and firm	orange	"buttery, earthy, nutty, subtle"	"fruity, rich"	La Maison Alexis de Portneuf Inc.				"Pacific Rock is a hard, washed-rind cheese made from pasteurized cow's milk and ripened in cheese rooms for at least six months. It reveals subtle, earthy flavors with hints of caramel complemented by rich, nutty buttery accents. The flavors are reminiscent of country-style bread intensified with orange zest.The cheese gets its name from Canada's rugged Pacific Rim coastline. It has won many awards including bronze medal at World Cheese Awards 2013 and gold at International Cheese awards 2014."
Pack Square	cow's milk	United States	Fairview	Brie	"semi-soft, artisan, soft-ripened"			bloomy	"buttery, creamy, soft and soft-ripened"	white	"buttery, creamy, earthy, spicy"	"grassy, rich"	Looking Glass Creamery				"Pack Square soft-ripened brie style cheese made from Jersey cow milk. The cheese gets its name from the square shape it is moulded in. The golden colored paste, enveloped by a bloomy rind, is buttery, creamy interior at peak ripeness."
Paesanella Bocconcin	pasteurized cow's milk	Australia	New South Wales	Mozzarella	semi-soft			rindless	elastic	white	"creamy, salty, sweet"	"milky, sweet"	Paesanella Cheese Manufacturers			yes	"Paesanella Bocconcini is a semi-soft white cheese produced by Paesanella Cheese Manufacturers in New South Wales, Australia. Bocconcini, meaning ""mouthful"" in Italian, are egg sized Mozzarella cheeses.  It is made from pasteurised cow's milk. This elastically textured cheese is suspended in water which maintains its freshness. Milky sweet in taste with hint of salt cheese goes well with anti-pasta dishes, salads and pizzas. This cheese has won many gold medals including ""Champion Cheese of the Show - 2003"" and ""Champion Fancy Cheese - 2003"" awards."
Paesanella Buffalo Mozzarella	pasteurized buffalo's and cow's milk	Australia	New South Wales	Mozzarella		25.8 g/100g		rindless		white			Paesanella Cheese Manufacturers	Bufala Mozzarella		yes	"Buffalo Mozzarella is a fresh, semi-soft cheese produced by Paesanella Cheese Manufacturers in New South Wales, Australia. It is made using the traditional Italian Neapolitan way using 80% buffalo and 20% cow's milk. The process of making the cheese includes heating the curd to a point where it can be stretched and formed into various shapes. This elastically textured cheese is sweet in taste, with strong hints of salt. The cheese is coated with a thin edible rind and brined for some days. This white colored cheese is rich in calcium, protein and lower in cholesterol. It is mainly used in salads, pizzas."
